boat,dtf,long,lat,time
366,3707762,-26.42086,16.84602,1479369605
366,3675236,-26.72669,16.84797,1479384006
366,3639024,-27.0672,16.86177,1479398405
366,3598445,-27.44885,16.87765,1479412806
366,3562187,-27.78987,16.88405,1479427205
366,3528313,-28.10847,16.88629,1479441605
366,3487161,-28.4956,16.89487,1479456005
366,3442911,-28.91173,16.88914,1479470405
366,3400682,-29.30904,16.89694,1479484830
366,3358835,-29.70252,16.88761,1479499380
366,3330365,-29.97139,16.94371,1479513606
366,3301191,-30.2462,16.95744,1479528005
366,3265003,-30.58503,16.88282,1479542416
366,3229881,-30.9146,16.84744,1479556805
366,3192576,-31.26098,16.63488,1479571205
366,3154795,-31.61744,16.70923,1479585605
366,3108685,-32.05173,16.74608,1479600005
366,3072372,-32.39471,16.80101,1479614406
366,3038867,-32.71145,16.85103,1479628805
366,3001907,-33.05989,16.87037,1479643206
366,2962631,-33.43311,16.95941,1479657605
366,2924836,-33.7934,17.05364,1479672005
366,2881493,-34.20346,17.08456,1479686405
366,2849272,-34.51733,17.25906,1479700830
366,2819541,-34.80152,17.3135,1479715206
366,2786132,-35.11824,17.33025,1479729605
366,2764759,-35.32512,17.39916,1479744005
366,2737930,-35.57611,17.36351,1479758405
366,2717300,-35.76822,17.32461,1479772805
366,2699407,-35.93431,17.28409,1479787205
366,2677106,-36.14183,17.24111,1479801605
366,2658432,-36.31612,17.21275,1479816006
366,2644533,-36.44519,17.18301,1479830405
366,2632579,-36.55574,17.15135,1479844805
366,2619755,-36.67458,17.12088,1479859205
366,2605474,-36.80414,17.04831,1479873630
366,2596843,-36.88305,17.01269,1479888005
366,2568473,-37.1439,16.91614,1479902405
366,2535118,-37.45397,16.85283,1479916805
366,2501597,-37.76742,16.81776,1479931205
366,2465330,-38.10549,16.76569,1479945605
366,2431638,-38.42031,16.72943,1479960005
366,2397229,-38.7398,16.66471,1479974406
366,2367112,-39.01922,16.60587,1479988806
366,2335243,-39.31125,16.49046,1480003205
366,2299238,-39.64264,16.38092,1480017605
366,2264964,-39.95684,16.25487,1480032007
366,2232341,-40.25886,16.18319,1480046460
366,2202701,-40.53539,16.15536,1480060805
366,2168357,-40.85608,16.12859,1480075205
366,2121417,-41.29764,16.14494,1480089605
366,2080049,-41.68844,16.1805,1480104005
366,2039877,-42.06819,16.2134,1480118405
366,2009543,-42.35539,16.24077,1480132823
366,1980176,-42.62995,16.22199,1480147205
366,1953183,-42.87953,16.17055,1480161605
366,1920172,-43.18796,16.14831,1480176005
366,1881581,-43.54902,16.1287,1480190430
